cod_dis,nom_dis,dat_inc,tipo,crg_hor_semanal,carga,inativa
367,Entradas de Energia em Média Tensão,2024-07-01,Obrigatoria,2,40,ativa
368,Automação Industrial,2024-07-01,Obrigatoria,2,40,ativa
369,Contabilidade Geral ,2024-07-01,Obrigatoria,4,80,ativa
370,Matemática,2024-07-01,Obrigatoria,4,80,ativa
371,Sociologia das Organizações,2024-07-01,Obrigatoria,4,80,ativa
372,Economia,2024-07-01,Obrigatoria,4,80,ativa
373,Comunicação e Expressão,2024-07-01,Obrigatoria,4,80,ativa
374,Inglês I ,2024-07-01,Obrigatoria,4,80,ativa
375,Administração Comportamento Organizacional ,2024-07-01,Obrigatoria,4,80,ativa
376,"Organização, Sistemas e Métodos ",2024-07-01,Obrigatoria,4,80,ativa
377,Gestão de Marketing ,2024-07-01,Obrigatoria,4,80,ativa
378,Gestão de Pessoas ,2024-07-01,Obrigatoria,4,80,ativa
379,Estatística aplicada a Gestão ,2024-07-01,Obrigatoria,4,80,ativa
380,Métodos para a Produção do Conhecimento ,2024-07-01,Obrigatoria,4,80,ativa
381,Inglês II ,2024-07-01,Obrigatoria,4,80,ativa
382,Planejamento de Marketing ,2024-07-01,Obrigatoria,4,80,ativa
383,Gestão Financeira ,2024-07-01,Obrigatoria,4,80,ativa
384,Informática Aplicada a Gestão ,2024-07-01,Obrigatoria,4,80,ativa
385,Matemática Financeira ,2024-07-01,Obrigatoria,4,80,ativa
386,Direito Empresarial ,2024-07-01,Obrigatoria,4,80,ativa
387,Sistemas de Informação ,2024-07-01,Obrigatoria,4,80,ativa
388,Inglês III ,2024-07-01,Obrigatoria,4,80,ativa
389,Gestão de Projetos Empresariais ,2024-07-01,Obrigatoria,4,80,ativa
390,Análise de Investimentos ,2024-07-01,Obrigatoria,4,80,ativa
391,Gestão Ambiental ,2024-07-01,Obrigatoria,4,80,ativa
392,Logística ,2024-07-01,Obrigatoria,4,80,ativa
393,Gestão da Produção ,2024-07-01,Obrigatoria,4,80,ativa
394,Comunicação Empresarial Geral ,2024-07-01,Obrigatoria,4,80,ativa
395,Inglês IV ,2024-07-01,Obrigatoria,4,80,ativa
396,Desenvolvimento de Negócios ,2024-07-01,Obrigatoria,4,80,ativa
397,Planejamento e Gestão Estratégica ,2024-07-01,Obrigatoria,4,80,ativa
398,"Sociedade, Tecnologia e Inovação ",2024-07-01,Obrigatoria,4,80,ativa
399,Negócios Internacionais ,2024-07-01,Obrigatoria,4,80,ativa
400,Fundamentos da Gestão da Qualidade ,2024-07-01,Obrigatoria,4,80,ativa
401,Projeto de Trabalho de Graduação ,2024-07-01,Obrigatoria,4,80,ativa
402,Espanhol I ,2024-07-01,Obrigatoria,4,80,ativa
403,Inglês V ,2024-07-01,Obrigatoria,4,80,ativa
404,Atividades Acadêmico-Científico-Culturais ,2024-07-01,Obrigatoria,4,80,ativa
405,Sistemas Integrados de Gestão ,2024-07-01,Obrigatoria,4,80,ativa
406,Espanhol II ,2024-07-01,Obrigatoria,4,80,ativa
407,Inglês VI ,2024-07-01,Obrigatoria,4,80,ativa
408,- Cálculo I,1973-04-10,Obrigatoria,6,120,ativa
409,- Desenho Técnico e Introdução ao CAD,1973-04-10,Obrigatoria,4,80,ativa
410,- Física I,1973-04-10,Obrigatoria,5,100,ativa
411,- Humanidades,1973-04-10,Obrigatoria,4,80,ativa
412,- Português,1973-04-10,Obrigatoria,4,80,ativa
413,- Química I,1973-04-10,Obrigatoria,5,100,ativa
414,- Atividades Minerárias e Meio Ambiente,1973-04-10,Obrigatoria,2,40,ativa
415,- Cálculo II,1973-04-10,Obrigatoria,6,120,ativa
416,- Física II,1973-04-10,Obrigatoria,5,100,ativa
417,- Introdução à Gestão Empresarial,1973-04-10,Obrigatoria,2,40,ativa
418,- Inglês Técnico,1973-04-10,Obrigatoria,2,40,ativa
419,- Probabilidade e Estatística,1973-04-10,Obrigatoria,4,80,ativa
420,- Química II,1973-04-10,Obrigatoria,5,100,ativa
421,- Cálculo III,1973-04-10,Obrigatoria,4,80,ativa
422,- Ciência dos Materiais I,1973-04-10,Obrigatoria,4,80,ativa
423,- Elementos de Eletricidade,1973-04-10,Obrigatoria,2,40,ativa
424,- Física III,1973-04-10,Obrigatoria,4,80,ativa
425,- Noções Gerais de Direito,1973-04-10,Obrigatoria,2,40,ativa
426,- Química Orgânica,1973-04-10,Obrigatoria,4,80,ativa
427,- Resistência dos Materiais I,1973-04-10,Obrigatoria,4,80,ativa
428,- Termodinâmica dos Sólidos e Fenômenos de Transporte,1973-04-10,Obrigatoria,4,80,ativa
429,- Cálculo Numérico,1973-04-10,Obrigatoria,4,80,ativa
430,- Ciência dos Materiais II,1973-04-10,Obrigatoria,4,80,ativa
431,- Eletrotécnica e Instalações Industriais,1973-04-10,Obrigatoria,2,40,ativa
432,- Estatística Industrial e Controle de Qualidade,1973-04-10,Obrigatoria,4,80,ativa
433,- Física de Estado Sólido,1973-04-10,Obrigatoria,4,80,ativa
434,- Física IV,1973-04-10,Obrigatoria,4,80,ativa
435,- Matérias Primas e Impacto Ambiental,1973-04-10,Obrigatoria,2,40,ativa
436,- Reciclagem dos Materiais,1973-04-10,Obrigatoria,2,40,ativa
437,- Resistência dos Materiais II,1973-04-10,Obrigatoria,4,80,ativa
438,- Estrutura e Propriedades dos Materiais Poliméricos,1973-04-10,Obrigatoria,5,100,ativa
439,- Reologia de Polímeros,1973-04-10,Obrigatoria,5,100,ativa
440,- Tecnologia de Polímeros,1973-04-10,Obrigatoria,4,80,ativa
441,- Tecnologia de Síntese de Materiais Poliméricos,1973-04-10,Obrigatoria,6,120,ativa
442,DISCIPLINA OPTATIVA,1973-04-10,Optativa,2,40,ativa
443,- Processamento de Materiais Poliméricos ,1973-04-10,Obrigatoria,5,100,ativa
444,- Organização Industrial,1973-04-10,Obrigatoria,2,40,ativa
445,- Tempos e Métodos,1973-04-10,Obrigatoria,2,40,ativa
446,- Tecnologia de Plásticos Industriais,1973-04-10,Obrigatoria,4,80,ativa
447,- Tecnologia do Vidro,1973-04-10,Obrigatoria,2,40,ativa
448,- Biomateriais,1973-04-10,Obrigatoria,2,40,ativa
449,- Materiais Compósitos,1973-04-10,Obrigatoria,2,40,ativa
450,- Tratamentos de Resíduos Sólidos,1973-04-10,Obrigatoria,2,40,ativa
451,- Tecnologia de Fibras Ópticas,1973-04-10,Obrigatoria,2,40,ativa
452,- Corrosão e Processo de Proteção de Materiais,1973-04-10,Obrigatoria,2,40,ativa
453,- Análise de Falhas por Fraturas,1973-04-10,Obrigatoria,2,40,ativa
454,- Fundamentos de Soldagem,1973-04-10,Obrigatoria,6,120,ativa
- Materiais Elétricos,10/04/1973,Obrigatoria,2,40,ativa,ativa
455,Cálculo I ,1973-04-10,Obrigatoria,6,120,ativa
456,Comunicação em Língua Portuguesa,1973-04-10,Obrigatoria,3,60,ativa
457,Desenho I ,1973-04-10,Obrigatoria,2,40,ativa
458,Física Aplicada I,1973-04-10,Obrigatoria,4,80,ativa
459,História da Ciência e da Tecnologia,1973-04-10,Obrigatoria,2,40,ativa
460,Informática,1973-04-10,Obrigatoria,2,40,ativa
461,Inglês ,1973-04-10,Obrigatoria,2,40,ativa
462,Química,1973-04-10,Obrigatoria,4,80,ativa
463,Cálculo II ,1973-04-10,Obrigatoria,6,120,ativa
464,Desenho II ,1973-04-10,Obrigatoria,4,80,ativa
465,Eletricidade Básica,1973-04-10,Obrigatoria,4,80,ativa
466,Estatística,1973-04-10,Obrigatoria,3,60,ativa
467,Física Aplicada II,1973-04-10,Obrigatoria,4,80,ativa
468,Metrologia I,1973-04-10,Obrigatoria,4,80,ativa
469,Programação de Computadores,1973-04-10,Obrigatoria,4,80,ativa
470,Elementos de Máquinas I,1973-04-10,Obrigatoria,4,80,ativa
471,Eletrônica I ,1973-04-10,Obrigatoria,4,80,ativa
472,Eletrotécnica,1973-04-10,Obrigatoria,2,40,ativa
473,Materiais de Construção I,1973-04-10,Obrigatoria,4,80,ativa
474,Mecânica dos Sólidos I,1973-04-10,Obrigatoria,3,60,ativa
475,Metrologia II,1973-04-10,Obrigatoria,4,80,ativa
476,Óptica Técnica I,1973-04-10,Obrigatoria,4,80,ativa
477,Tecnologia de Fabricação Mecânica I,1973-04-10,Obrigatoria,4,80,ativa
478,Elementos de Máquinas II,1973-04-10,Obrigatoria,4,80,ativa
479,Eletrônica II,1973-04-10,Obrigatoria,4,80,ativa
480,Materiais de Construção II,1973-04-10,Obrigatoria,2,40,ativa
481,Mecânica dos Sólidos II,1973-04-10,Obrigatoria,2,40,ativa
482,Microprocessadores I,1973-04-10,Obrigatoria,4,80,ativa
483,Óptica Técnica II,1973-04-10,Obrigatoria,4,80,ativa
484,Organização Industrial,1973-04-10,Obrigatoria,2,40,ativa
485,Processamento de Sinais,1973-04-10,Obrigatoria,2,40,ativa
486,Sistemas Hidráulicos e Pneumáticos I,1973-04-10,Obrigatoria,2,40,ativa
487,Tecnologia de Fabricação Mecânica II,1973-04-10,Obrigatoria,2,40,ativa
488,Construção em Mecânica de Precisão I,1973-04-10,Obrigatoria,4,80,ativa
489,Programação e Operação de Máquinas CNC,1973-04-10,Obrigatoria,2,40,ativa
490,Elementos de Máquinas III,1973-04-10,Obrigatoria,4,80,ativa
491,Eletrônica III,1973-04-10,Obrigatoria,4,80,ativa
492,Materiais de Construção III,1973-04-10,Obrigatoria,2,40,ativa
493,Microprocessadores II,1973-04-10,Obrigatoria,4,80,ativa
494,Sistemas Hidráulicos e Pneumáticos II,1973-04-10,Obrigatoria,4,80,ativa
495,Tecnologia de Fabricação Mecânica III,1973-04-10,Obrigatoria,2,40,ativa
496,Construção em Mecânica de Precisão II,1973-04-10,Obrigatoria,4,80,ativa
497,Controle de Qualidade ,1973-04-10,Obrigatoria,3,60,ativa
498,Psicologia Industrial,1973-04-10,Obrigatoria,2,40,ativa
499,Relações Humanas e Direito Trabalhista,1973-04-10,Obrigatoria,2,40,ativa
500,Aplicações de Robôs Industriais ,1973-04-10,Obrigatoria,2,40,ativa
501,Desenho Assistido por Computador (CAD),1973-04-10,Obrigatoria,2,40,ativa
502,Manufatura Automatizada (CAM),1973-04-10,Obrigatoria,3,60,ativa
503,Gestão Empresarial,1973-04-10,Obrigatoria,4,80,ativa
504,Metrologia Óptica,1973-04-10,Obrigatoria,4,80,ativa
505,Programação Avançada,1973-04-10,Obrigatoria,4,80,ativa
506,Cálculo Diferencial e Integral I,1994-01-01,Obrigatoria,4,80,ativa
507,Programação de Computadores ,1994-01-01,Obrigatoria,6,80,ativa
508,Introdução à Tecnologia,1994-01-01,Obrigatoria,2,40,ativa
509,Física Mecânica,1994-01-01,Obrigatoria,6,80,ativa
510,Geometria Analítica,1994-01-01,Obrigatoria,4,80,ativa
Sistemas Digitais ,01/01/1994,Obrigatoria,2,6,80,ativa
6,40,ativa,Obrigatoria,6,80,ativa
511,Química I,1994-01-01,Obrigatoria,4,40,ativa
512,Cálculo Diferencial e Integral II,1994-01-01,Obrigatoria,4,80,ativa
513,Circuitos Elétricos ,1994-01-01,Obrigatoria,6,80,ativa
514,Física Eletromagnética,1994-01-01,Obrigatoria,6,80,ativa
515,Química II,1994-01-01,Obrigatoria,4,80,ativa
516,Ciências dos Materiais ,1994-01-01,Obrigatoria,4,80,ativa
517,Redação Técnica,1994-01-01,Obrigatoria,4,80,ativa
518,Técnicas Químicas de Caracterização,1994-01-01,Obrigatoria,4,80,ativa
TOTAL,01/01/1994,Obrigatoria,2,40,ativa,ativa
519,Cálculo Diferencial e Integral III,1994-01-01,Obrigatoria,4,80,ativa
520,Cálculo Numérico,1994-01-01,Obrigatoria,2,40,ativa
521,Ciência e Tecnologias Térmicas ,1994-01-01,Obrigatoria,4,80,ativa
522,Dispositivos Semicondutores ,1994-01-01,Obrigatoria,4,80,ativa
523,Fabricação de Componentes Passivos ,1994-01-01,Obrigatoria,2,40,ativa
524,Física Eletromagnética e Óptica,1994-01-01,Obrigatoria,4,80,ativa
525,Materiais Cerâmicos e Poliméricos ,1994-01-01,Obrigatoria,2,40,ativa
526,Técnicas Físicas de Caracterização,1994-01-01,Obrigatoria,4,80,ativa
527,Tecnologia do Vácuo,1994-01-01,Obrigatoria,4,80,ativa
528,Estatística,1994-01-01,Obrigatoria,4,80,ativa
529,Eletrônica,1994-01-01,Obrigatoria,6,80,ativa
530,Etapas de Processo - Teoria,1994-01-01,Obrigatoria,4,80,ativa
531,Etapas de Processo - Laboratório,1994-01-01,Obrigatoria,6,80,ativa
532,Física do Estado Sólido,1994-01-01,Obrigatoria,4,80,ativa
533,Projeto de Circuito Integrado,1994-01-01,Obrigatoria,4,80,ativa
534,Tecnologia de Salas Limpas ,1994-01-01,Obrigatoria,2,40,ativa
535,"Controle de Qualidade, Confiabilidade e Análise",1994-01-01,Optativa,2,40,ativa
de Falhas,01/01/1994,Obrigatoria,4,80,ativa,ativa
536,Empreendedorismo,1994-01-01,Obrigatoria,2,40,ativa
537,Trabalho de Graduação,1994-01-01,Obrigatoria,2,40,ativa
538,Processos de Fabricação de Componentes Semicondutores,1994-01-01,Obrigatoria,6,80,ativa
539,Processos Eletrônicos Avançados I,1994-01-01,Obrigatoria,4,80,ativa
540,Optativa 1,1994-01-01,Optativa,2,40,ativa
541,Optativa 2,1994-01-01,Optativa,2,40,ativa
542,Fabricação de Placas de Circuito Impresso,1994-01-01,Obrigatoria,4,40,ativa
543,Montagem Eletrônica,1994-01-01,Obrigatoria,4,80,ativa
544,Processos Eletrônicos Avançados II,1994-01-01,Obrigatoria,4,80,ativa
545,Tecnologia de Encapsulamento,1994-01-01,Obrigatoria,2,40,ativa
546,Optativa 3,1994-01-01,Optativa,2,40,ativa
547,Optativa 4,1994-01-01,Optativa,2,40,ativa
548,Aplicações Tecnológicas de Plasma,1994-01-01,Obrigatoria,2,40,ativa
549,Desenho Técnico e Introdução ao CAD,1994-01-01,Obrigatoria,4,80,ativa
550,Dinâmica de Negócios da Indústria Manufatureira,1994-01-01,Obrigatoria,2,40,ativa
551,Direito Ambiental e Sustentabilidade,1994-01-01,Obrigatoria,2,40,ativa
552,Eletrônica Avançada,1994-01-01,Obrigatoria,4,40,ativa
553,Estrutura de Dados ,1994-01-01,Obrigatoria,4,80,ativa
554,Extração de Parâmetros de Componentes ,1994-01-01,Obrigatoria,2,40,ativa
555,Gestão da Manufatura,1994-01-01,Obrigatoria,2,40,ativa
556,Humanidades ,1994-01-01,Obrigatoria,2,40,ativa
557,Inglês Técnico,1994-01-01,Obrigatoria,2,40,ativa
558,Metais e Ligas ,1994-01-01,Obrigatoria,2,40,ativa
559,Organização e Métodos da Produção,1994-01-01,Obrigatoria,2,40,ativa
560,Planejamento e Controle da Produção,1994-01-01,Obrigatoria,2,40,ativa
561,Projeto e Controle Estatístico,1994-01-01,Obrigatoria,2,40,ativa
562,Sistemas Digitais Avançados ,1994-01-01,Obrigatoria,4,40,ativa
563,Tecnologia do Vidro,1994-01-01,Obrigatoria,2,40,ativa
564,Tópicos de Materiais Avançados ,1994-01-01,Obrigatoria,2,40,ativa
565,Cálculo I,1973-04-10,Obrigatoria,4,80,ativa
566,Comunicação e Expressão,1973-04-10,Obrigatoria,4,80,ativa
567,Desenho Técnico de Construção Civil,1973-04-10,Obrigatoria,4,80,ativa
568,Física Aplicada I,1973-04-10,Obrigatoria,4,80,ativa
569,Práticas de Física I,1973-04-10,Obrigatoria,4,80,ativa
570,Geologia,1973-04-10,Obrigatoria,4,80,ativa
571,Inglês I,1973-04-10,Obrigatoria,4,80,ativa
572,Materiais para Construção Civil Aplicados a Obras Viárias I,1973-04-10,Obrigatoria,4,80,ativa
573,Química Aplicada,1973-04-10,Obrigatoria,4,80,ativa
574,Cálculo II,1973-04-10,Obrigatoria,4,80,ativa
575,Física Aplicada II,1973-04-10,Obrigatoria,4,80,ativa
576,Práticas de Física II,1973-04-10,Obrigatoria,4,80,ativa
577,Informática Aplicada a Projetos Viários,1973-04-10,Obrigatoria,4,80,ativa
578,Inglês II,1973-04-10,Obrigatoria,4,80,ativa
579,Materiais para Construção Civil Aplicados a Obras Viárias II,1973-04-10,Obrigatoria,4,80,ativa
580,Topografia,1973-04-10,Obrigatoria,4,80,ativa
581,Avaliação de Impacto Ambiental,1973-04-10,Obrigatoria,4,80,ativa
582,Estatística,1973-04-10,Obrigatoria,4,80,ativa
583,Ética,1973-04-10,Obrigatoria,4,80,ativa
584,Mecânica dos Solos,1973-04-10,Obrigatoria,4,80,ativa
585,Relações Humanas e Direito Trabalhista,1973-04-10,Obrigatoria,4,80,ativa
586,Resistência dos Materiais I,1973-04-10,Obrigatoria,4,80,ativa
587,Transportes e Tráfego,1973-04-10,Obrigatoria,4,80,ativa
588,Construções Sustentáveis,1973-04-10,Obrigatoria,4,80,ativa
589,Mecânica dos Fluídos,1973-04-10,Obrigatoria,4,80,ativa
590,Projeto Geométrico de Vias,1973-04-10,Obrigatoria,4,80,ativa
591,Projeto Integrador I,1973-04-10,Obrigatoria,4,80,ativa
592,Resistência dos Materiais II,1973-04-10,Obrigatoria,4,80,ativa
593,Terraplenagem,1973-04-10,Obrigatoria,4,80,ativa
594,Técnicas Construtivas de Edifícios,1973-04-10,Obrigatoria,4,80,ativa
595,Drenagem,1973-04-10,Obrigatoria,4,80,ativa
596,Instalações Elétricas,1973-04-10,Obrigatoria,4,80,ativa
597,Práticas de Instalações Elétricas,1973-04-10,Obrigatoria,4,80,ativa
598,Instalações Hidráulicas,1973-04-10,Obrigatoria,4,80,ativa
599,Materiais para Pavimentação,1973-04-10,Obrigatoria,4,80,ativa
600,Projeto de Pavimento,1973-04-10,Obrigatoria,4,80,ativa
601,Sinalização e Segurança Viária,1973-04-10,Obrigatoria,4,80,ativa
602,Gerência de Obras,1973-04-10,Obrigatoria,4,80,ativa
603,Gerência de Projetos Viários,1973-04-10,Obrigatoria,4,80,ativa
604,Gestão e Diagnóstico de Patologias em Pavimentos,1973-04-10,Obrigatoria,4,80,ativa
605,Pavimentação,1973-04-10,Obrigatoria,4,80,ativa
606,Projeto Integrador II,1973-04-10,Obrigatoria,4,80,ativa
607,Técnicas de Manutenção de Pavimentos,1973-04-10,Obrigatoria,4,80,ativa
608,Métodos de Cálculo I,1973-04-10,Obrigatoria,6,120,ativa
609,Desenho Técnico Mecânico I,1973-04-10,Obrigatoria,2,40,ativa
610,Humanidades,1973-04-10,Obrigatoria,4,80,ativa
611,Física Aplicada I,1973-04-10,Obrigatoria,5,100,ativa
612,Eletricidade Aplicada I,1973-04-10,Obrigatoria,3,60,ativa
613,Português,1973-04-10,Obrigatoria,3,60,ativa
614,Operações Mecânicas I (Prática),1973-04-10,Obrigatoria,4,80,ativa
615,Operações Mecânicas I (Teoria),1973-04-10,Obrigatoria,2,40,ativa
616,Sistemas Mecânicos I,1973-04-10,Obrigatoria,4,80,ativa
617,Desenho Técnico Mecânico II,1973-04-10,Obrigatoria,3,60,ativa
618,Eletricidade Aplicada II,1973-04-10,Obrigatoria,5,100,ativa
619,Métodos de Cálculo II,1973-04-10,Obrigatoria,6,120,ativa
620,Processos de Produção I (Prática),1973-04-10,Obrigatoria,2,40,ativa
621,Processos de Produção I (Teoria),1973-04-10,Obrigatoria,2,40,ativa
622,Materiais para Construção Mecânica I,1973-04-10,Obrigatoria,3,60,ativa
623,Desenho Técnico Mecânico III,1973-04-10,Obrigatoria,2,40,ativa
624,Operações Mecânicas II (Prática),1973-04-10,Obrigatoria,4,80,ativa
625,Operações Mecânicas II (Teoria),1973-04-10,Obrigatoria,2,40,ativa
626,Sistemas Mecânicos II,1973-04-10,Obrigatoria,3,60,ativa
627,Estática e Resistência dos Materiais I,1973-04-10,Obrigatoria,4,80,ativa
628,Relações Humanas e Direito Trabalhista,1973-04-10,Obrigatoria,2,40,ativa
629,Estatística I,1973-04-10,Obrigatoria,2,40,ativa
630,Materiais para Construção Mecânica II,1973-04-10,Obrigatoria,4,80,ativa
631,Tecnologia de Estampagem I,1973-04-10,Obrigatoria,2,40,ativa
632,Tecnologia de Dispositivos,1973-04-10,Obrigatoria,4,80,ativa
633,Processos de Produção II,1973-04-10,Obrigatoria,4,80,ativa
634,Sistemas Mecânicos III,1973-04-10,Obrigatoria,3,60,ativa
635,Organização Industrial,1973-04-10,Obrigatoria,7,140,ativa
636,Tecnologia de Estampagem II,1973-04-10,Obrigatoria,2,40,ativa
637,Tratamento Térmico e Seleção de Materiais,1973-04-10,Obrigatoria,5,100,ativa
638,Máquinas-Ferramenta I,1973-04-10,Obrigatoria,14,280,ativa
639,Controle de Qualidade,1973-04-10,Obrigatoria,4,80,ativa
640,Instalação e Manutenção de Equipamentos,1973-04-10,Obrigatoria,5,100,ativa
641,Máquinas-Ferramenta II,1973-04-10,Obrigatoria,14,280,ativa
642,Recursos Industriais,1973-04-10,Obrigatoria,3,60,ativa
643,Metodos de Calculo I,1973-04-10,Obrigatoria,6,120,ativa
644,Desenho Tecnico Mecanico I,1973-04-10,Obrigatoria,2,40,ativa
645,Eletricidade Aplicada I,1973-04-10,Obrigatoria,3,60,ativa
646,Fisica Aplicada I,1973-04-10,Obrigatoria,5,100,ativa
647,Humanidades,1973-04-10,Obrigatoria,4,80,ativa
648,Portugues,1973-04-10,Obrigatoria,3,60,ativa
649,Metodos de Calculo II,1973-04-10,Obrigatoria,6,120,ativa
650,Desenho Tecnico Mecanico II,1973-04-10,Obrigatoria,3,60,ativa
651,Eletricidade Aplicada II,1973-04-10,Obrigatoria,5,100,ativa
652,Operacoes Mecanicas I (Pratica),1973-04-10,Obrigatoria,4,80,ativa
653,Operacoes Mecanicas I (Teoria),1973-04-10,Obrigatoria,2,40,ativa
654,Sistemas Mecanicos I,1973-04-10,Obrigatoria,4,80,ativa
655,Desenho Tecnico Mecanico III,1973-04-10,Obrigatoria,2,40,ativa
656,Estatistica I,1973-04-10,Obrigatoria,2,40,ativa
657,Materiais para Construcao Mecanica I,1973-04-10,Obrigatoria,3,60,ativa
658,Operacoes Mecanicas II (Pratica),1973-04-10,Obrigatoria,4,80,ativa
659,Operacoes Mecanicas II (Teoria),1973-04-10,Obrigatoria,2,40,ativa
660,Processos de Producao I (Pratica),1973-04-10,Obrigatoria,2,40,ativa
661,Processos de Producao I (Teoria),1973-04-10,Obrigatoria,2,40,ativa
662,Estatica e Resistencia dos Materiais I,1973-04-10,Obrigatoria,4,80,ativa
663,Relacoes Humanas e Direito Trabalhista,1973-04-10,Obrigatoria,2,40,ativa
664,Sistemas Mecanicos II,1973-04-10,Obrigatoria,3,60,ativa
665,Construcao de Maquinas I,1973-04-10,Obrigatoria,7,140,ativa
666,Materiais para Construcao Mecanica II,1973-04-10,Obrigatoria,4,80,ativa
667,Processos de Producao II,1973-04-10,Obrigatoria,4,80,ativa
668,Estatica e Resistencia dos Materiais II,1973-04-10,Obrigatoria,4,80,ativa
669,Sistemas Mecanicos III,1973-04-10,Obrigatoria,3,60,ativa
670,Tecnologia de Estampagem I,1973-04-10,Obrigatoria,2,40,ativa
671,Construcao de Maquinas II,1973-04-10,Obrigatoria,7,140,ativa
672,Organizacao Industrial,1973-04-10,Obrigatoria,7,140,ativa
673,Tecnologia de Dispositivos,1973-04-10,Obrigatoria,4,80,ativa
674,Tecnologia de Estampagem II,1973-04-10,Obrigatoria,2,40,ativa
675,Tratamento Termico e Selecao de Materiais,1973-04-10,Obrigatoria,5,100,ativa
676,Controle de Qualidade,1973-04-10,Obrigatoria,4,80,ativa
677,Maquinas - Ferramenta para Projetos,1973-04-10,Obrigatoria,3,60,ativa
678,Projeto de Maquinas,1973-04-10,Obrigatoria,8,160,ativa
679,Recursos Industriais,1973-04-10,Obrigatoria,3,60,ativa
680,Sistemas Hidraulicos e Pneumaticos,1973-04-10,Obrigatoria,4,80,ativa
681,Ciencia dos Materiais,1988-04-11,Obrigatoria,2,40,ativa
682,Comunicacao e Expressao,1988-04-11,Obrigatoria,2,40,ativa
683,Desenvolvimento Comportamental,1988-04-11,Obrigatoria,2,40,ativa
684,Estagio Supervisionado,1988-04-11,Obrigatoria,0,40,ativa
685,Fisica,1988-04-11,Obrigatoria,4,80,ativa
686,Geometria Analitica,1988-04-11,Obrigatoria,2,40,ativa
687,Gestao Ambiental na Soldagem,1988-04-11,Obrigatoria,2,40,ativa
688,Processos de Fabricacao Mecanica,1988-04-11,Obrigatoria,4,80,ativa
689,Fundamentos da Termodinamica,1988-04-11,Obrigatoria,2,40,ativa
690,"Solda, Corte e Informatizacao",1988-04-11,Obrigatoria,4,80,ativa
691,Calculo I,1988-04-11,Obrigatoria,2,40,ativa
692,Desenho Tecnico,1988-04-11,Obrigatoria,4,80,ativa
693,Eletricidade e Eletronica Aplicadas na Soldagem,1988-04-11,Obrigatoria,2,40,ativa
694,Estagio Supervisionado,1988-04-11,Obrigatoria,0,40,ativa
695,Metalurgia-Fisico-Quimica,1988-04-11,Obrigatoria,4,80,ativa
696,Gestao de Pessoas e Etica,1988-04-11,Obrigatoria,2,40,ativa
697,Laboratorio de Processos na Soldagem I,1988-04-11,Obrigatoria,4,80,ativa
698,Resistencia dos Materiais I,1988-04-11,Obrigatoria,4,80,ativa
699,Tecnologia dos Processos de Soldagem I,1988-04-11,Obrigatoria,2,40,ativa
700,Calculo II,1988-04-11,Obrigatoria,2,40,ativa
701,Estagio Supervisionado,1988-04-11,Obrigatoria,0,40,ativa
702,Gestao da Producao na Soldagem,1988-04-11,Obrigatoria,2,40,ativa
703,Ingles I,1988-04-11,Obrigatoria,2,40,ativa
704,Laboratorio de Processos na Soldagem II,1988-04-11,Obrigatoria,4,80,ativa
705,Metalurgia na Soldagem,1988-04-11,Obrigatoria,4,80,ativa
706,Metodologia da Pesquisa Cientifico-Tecnologica,1988-04-11,Obrigatoria,2,40,ativa
707,Resistencia dos Materiais II,1988-04-11,Obrigatoria,2,40,ativa
708,Tecnologia dos Processos de Soldagem II,1988-04-11,Obrigatoria,2,40,ativa
709,Terminologia e Desenho para Soldagem,1988-04-11,Obrigatoria,4,80,ativa
710,Calculo e Projeto de Elementos de Maquinas,1988-04-11,Obrigatoria,2,40,ativa
711,Diretrizes para Elaboracao de Textos Tecnicos,1988-04-11,Obrigatoria,2,40,ativa
712,Estagio Supervisionado,1988-04-11,Obrigatoria,0,40,ativa
713,Ingles II,1988-04-11,Obrigatoria,2,40,ativa
714,Introducao ao Desenho Assistido por Computador,1988-04-11,Obrigatoria,2,40,ativa
715,Laboratorio de Ensaios da Qualidade,1988-04-11,Obrigatoria,2,40,ativa
716,Processos e Aplicacoes Especiais,1988-04-11,Obrigatoria,2,40,ativa
717,Sistemas Flexiveis de Manufatura,1988-04-11,Obrigatoria,2,40,ativa
718,Soldagem na Producao Seriada,1988-04-11,Obrigatoria,2,40,ativa
719,Tecnologia de Ensaios da Qualidade I,1988-04-11,Obrigatoria,2,40,ativa
720,Tecnologia da Soldagem de Ligas Ferrosas,1988-04-11,Obrigatoria,4,80,ativa
721,Tecnologia na Fabricacao de Conjuntos Soldados I,1988-04-11,Obrigatoria,2,40,ativa
722,Produtividade e Custos em Processos de Soldagem,1988-04-11,Obrigatoria,2,40,ativa
723,Calculo e Projeto de Estruturas Soldadas I,1988-04-11,Obrigatoria,2,40,ativa
724,Estagio Supervisionado,1988-04-11,Obrigatoria,0,40,ativa
725,Higiene e Seguranca no Trabalho para Soldagem,1988-04-11,Obrigatoria,2,40,ativa
726,Ingles III,1988-04-11,Obrigatoria,2,40,ativa
727,Inovacao e Empreendedorismo,1988-04-11,Obrigatoria,2,40,ativa
728,Normas Tecnicas Aplicadas na Soldagem,1988-04-11,Obrigatoria,2,40,ativa
729,Solda de Manutencao I,1988-04-11,Obrigatoria,2,40,ativa
730,Tecnologia da Soldagem de Ligas Nao Ferrosas,1988-04-11,Obrigatoria,4,80,ativa
